epoch,train_acc,train_loss,test_acc,test_loss
1520,53.125,0.616849,45.8967,0.689918
1530,43.75,0.590575,47.7204,0.678357
1540,71.875,0.549837,47.7204,0.679639
1550,46.875,0.629493,46.5046,0.680674
1560,46.875,0.595541,48.6322,0.682113
1570,50,0.64295,48.6322,0.682829
1580,31.25,0.67112,37.0821,0.691643
1590,31.25,0.694718,45.8967,0.68135
1600,56.25,0.596232,47.7204,0.681928
1610,53.125,0.615511,38.6018,0.701286
1620,53.125,0.593503,43.769,0.701884
1630,59.375,0.52679,48.9362,0.677753
1640,62.5,0.513734,43.465,0.696461
1650,53.125,0.640046,46.8085,0.684872
1660,46.875,0.648002,44.0729,0.691416
1670,50,0.569462,47.1125,0.676692
1680,65.625,0.577632,47.4164,0.675524
1690,50,0.54456,48.9362,0.670086
1700,43.75,0.628786,37.69,0.680641
1710,46.875,0.602568,38.9058,0.680709
1720,59.375,0.597325,49.848,0.672943
1730,43.75,0.618809,47.1125,0.689761
1740,65.625,0.53884,49.5441,0.680395
1750,59.375,0.564839,47.7204,0.671292
1760,56.25,0.692984,48.0243,0.68099
1770,46.875,0.634607,48.6322,0.694968
1780,62.5,0.595987,49.848,0.682417
1790,56.25,0.599888,48.9362,0.669344
1800,53.125,0.621212,48.6322,0.671671
1810,43.75,0.613193,45.8967,0.686416
1820,43.75,0.637038,49.848,0.673141
1830,53.125,0.640252,48.3283,0.67495
1840,37.5,0.717021,44.3769,0.709029
1850,53.125,0.614136,45.8967,0.688545
1860,43.75,0.648251,48.6322,0.676041
1870,40.625,0.642663,47.7204,0.67945
1880,43.75,0.611636,47.1125,0.680024
1890,40.625,0.632131,38.6018,0.680473
1900,53.125,0.615302,46.2006,0.67564
1910,37.5,0.613434,37.386,0.699322
1920,37.5,0.717484,42.5532,0.688118
1930,46.875,0.668945,40.4255,0.674844
1940,43.75,0.669105,50.4559,0.671798
1950,46.875,0.618655,50.152,0.6748
1960,53.125,0.631548,43.465,0.691945
1970,43.75,0.630915,45.8967,0.696178
1980,34.375,0.706446,38.2979,0.698976
1990,53.125,0.584403,48.9362,0.677615
2000,50,0.6508,44.6809,0.688397
2010,46.875,0.593605,49.2401,0.67417
2020,46.875,0.602106,48.0243,0.6842
2030,53.125,0.561591,46.2006,0.676201
2040,34.375,0.638351,38.9058,0.683908
